a123456,John Smith,jsmith@sims.org,Mrs.smith1,True
b654321,Joe Doe,jdoe@sims.org,Godfather1,False
c234561,Clark Kent,superman@sims.org,superman,False
d345612,Bruce Wayne,batman@sims.org,batman,True
e456123,Bruce Banner,thehulk@sims.org,hulk,False
f561234,Tony Stark,ironman@sims.org,ironman,False
g612345,Peter Parker,spidey@sims.org,spiderman,False
h246135,Selina Kyle,catwoman@sims.org,catwoman,True
i987654,Arthur Curry,aquaman@sims.org,aquaman,False
j987712,Barry Allen,theflash@sims.org,theflash,False
k284883,Hellen Parr,elastigirl@sims.org,elastigirl,False
l999267,Diana Prince,wonderwoman@sims.org,wonderwoman,False
p737721,Mary Jane,mjane@sims.org,maryjane,False
